Role,Degree,Subject,Interests,UserId,Name
Student,Doctorate,Computer Science,"""Networking"", ""Machine Learning"", ""Software Development""",omx67zludoml84ihyvlcp2zr,Zainab Iqbal
Industrial,Doctorate,Data Science,"""Artificial Intelligence"", ""Data Science"", ""Human Computer Interaction"", ""Networking""",eh0dyebbxbvrdfjprkiejzy3,Ahmed Chaudhry
Industrial,Doctorate,Data Science,"""Software Development"", ""Machine Learning"", ""Networking""",dsbbm2lds86oozz39jcu90j9,Hina Javed
Student,Doctorate,Software Engineering,"""Artificial Intelligence""",mlq0klgqxtm2lckzag1ld92w,Ayesha Ahmed
Faculty,Masters,Software Engineering,"""Software Development""",czura9nl7wvyaviyzfjcszfu,Ayesha Raza
Industrial,Doctorate,Data Science,"""Networking"", ""Data Science""",1ifzl2oq8a2v7tvyhsmtf3ym,Ayesha Khan
Faculty,Doctorate,Data Science,"""Artificial Intelligence""",o70d5i289h5u91ig6neewhrc,Omar Javed
Faculty,Masters,Data Science,"""Machine Learning""",wupu8h0oycjnhgbny3768a92,Omar Ahmed
Student,Doctorate,Software Engineering,"""Data Science"", ""Human Computer Interaction"", ""Networking"", ""Software Development""",z9uc2sd7s08wuelh7huej135,Hassan Ahmed
Industrial,Doctorate,Software Engineering,"""Artificial Intelligence""",bdzy9boqnljkhnta0m725vyx,Ahmed Iqbal
Industrial,Doctorate,Computer Science,"""Data Science""",2vgivzyrqew9lntwxzwqoo1t,Hina Chaudhry
Industrial,Bachelors,Data Science,"""Machine Learning"", ""Artificial Intelligence"", ""Networking""",xr3qe59ajngf27hwtc5h3sl3,Ayesha Malik
Student,Bachelors,Software Engineering,"""Data Science""",xpuzbhl8uv2up9p8yyqp4jpx,Fatima Sheikh
Student,Doctorate,Software Engineering,"""Machine Learning""",x1cga2imn90zkshjtvomykn1,Hina Iqbal
Student,Doctorate,Software Engineering,"""Networking"", ""Data Science""",y72cusjnxz3yezcm5rnl0iwk,Hina Chaudhry
Student,Masters,Data Science,"""Data Science"", ""Networking"", ""Machine Learning"", ""Software Development""",c4bdi023dsiyzsqb1ui2vdu9,Ayesha Javed
Student,Masters,Data Science,"""Software Development"", ""Human Computer Interaction"", ""Networking""",ahtyqv54cshf89q020xjtgzv,Ayesha Iqbal
Student,Bachelors,Software Engineering,"""Software Development""",xrfxrmlkt4v700sgm71rq0hh,Sara Iqbal
Faculty,Masters,Software Engineering,"""Machine Learning""",nzgaovn2go18bsqgmchh1re1,Zainab Ahmed
Industrial,Doctorate,Data Science,"""Software Development""",f9jsnwo3ws8cqbm5ykormjqi,Zainab Iqbal
Industrial,Bachelors,Software Engineering,"""Human Computer Interaction"", ""Networking"", ""Artificial Intelligence""",q99ntfcvopxtfhn1et5so2vx,Ali Khan
Student,Doctorate,Software Engineering,"""Networking"", ""Human Computer Interaction""",vu3tv1l54w5ysz2x6xbcubgb,Usman Sheikh
Industrial,Masters,Software Engineering,"""Data Science"", ""Networking""",kqyuqjlqs616osveg0efq4r9,Sara Raza
Student,Doctorate,Data Science,"""Artificial Intelligence"", ""Data Science""",39usga124lgxcvydb04ltan9,Hassan Iqbal
Faculty,Masters,Software Engineering,"""Data Science"", ""Human Computer Interaction"", ""Software Development""",29g4jxv6ji3twdhyo49pxw7d,Hassan Sheikh
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Machine Learning"", ""Data Science""",re54ixrv2efj6ov9gqmprya4,Zainab Malik
Industrial,Bachelors,Data Science,"""Data Science""",b493x92mxanqpuqc70mixgiz,Ayesha Butt
Student,Bachelors,Data Science,"""Artificial Intelligence"", ""Networking"", ""Machine Learning""",itbykdp081txyir2w0ahfnps,Fatima Ahmed
Industrial,Bachelors,Data Science,"""Networking"", ""Artificial Intelligence"", ""Machine Learning"", ""Human Computer Interaction""",ulejsatq2xmuykt6syy14gjr,Ayesha Iqbal
Industrial,Doctorate,Data Science,"""Networking""",njanwtkkzdtg9gkl27kvnwxe,Sara Chaudhry
Faculty,Masters,Computer Science,"""Software Development"", ""Machine Learning""",ohfoo0t847kck4w6010zd6ki,Hina Chaudhry
Faculty,Masters,Data Science,"""Networking"", ""Artificial Intelligence"", ""Machine Learning"", ""Human Computer Interaction""",qfjvih8h1b8uc9u0ntq5903t,Usman Chaudhry
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Data Science"", ""Machine Learning""",xchke5gi3etn0dkyeidsdqie,Omar Raza
Student,Bachelors,Computer Science,"""Machine Learning""",bl1obxihg6wag064fezsdlrn,Ali Ahmed
Faculty,Masters,Data Science,"""Networking"", ""Software Development"", ""Data Science""",7mik57yuhuohfntzcfhnku8o,Usman Javed
Industrial,Doctorate,Software Engineering,"""Data Science"", ""Artificial Intelligence""",1i6cx4eaf3vxghpnw88l8dbk,Zainab Chaudhry
Industrial,Doctorate,Software Engineering,"""Data Science"", ""Human Computer Interaction""",zb1mm2v93k3mxvi854c5sk5q,Omar Butt
Industrial,Doctorate,Software Engineering,"""Networking"", ""Data Science""",stovmegqbjzi8heygnhissv3,Omar Malik
Faculty,Masters,Data Science,"""Software Development"", ""Human Computer Interaction"", ""Artificial Intelligence"", ""Data Science""",4l1j6qvk13afxd25q2pitdyx,Omar Malik
Student,Doctorate,Computer Science,"""Artificial Intelligence"", ""Networking"", ""Software Development""",uqtjfmfrkiaays4ylww45x0v,Hassan Hussain
Faculty,Doctorate,Computer Science,"""Artificial Intelligence"", ""Human Computer Interaction"", ""Networking""",jhqo10ig0z621zxlfh1fzghb,Ali Khan
Student,Bachelors,Computer Science,"""Machine Learning""",iohd4jvr1dkmkq5mthaoz6ef,Hina Butt
Faculty,Masters,Data Science,"""Machine Learning"", ""Data Science""",vw9dwu2cka3wbj1lderjqpwe,Usman Ahmed
Student,Masters,Computer Science,"""Networking"", ""Data Science""",nez4tlvyx8p81nad6vuwvssg,Zainab Butt
Student,Masters,Computer Science,"""Data Science"", ""Machine Learning""",upwi4nkjcgd9zn9edty1lsm3,Zainab Malik
Industrial,Doctorate,Software Engineering,"""Networking""",70y6qy542jcgbh0183dhg9m1,Ahmed Iqbal
Industrial,Masters,Software Engineering,"""Artificial Intelligence""",5vajlq5wdab9v4r5678dvc5i,Usman Javed
Faculty,Masters,Data Science,"""Software Development""",r6lpy5v6m675fbe2awb6lmmf,Ahmed Iqbal
Industrial,Bachelors,Computer Science,"""Software Development"", ""Networking"", ""Human Computer Interaction"", ""Machine Learning""",1fz8x1skli7s2gd73u3jcthx,Hina Butt
Student,Doctorate,Software Engineering,"""Networking"", ""Machine Learning""",3o96o94zrbhkrz4v34znoxfg,Ayesha Javed
Faculty,Masters,Data Science,"""Data Science"", ""Software Development"", ""Machine Learning""",il5jybvav22x16j2y9b3ywdo,Omar Javed
Student,Doctorate,Data Science,"""Software Development"", ""Data Science"", ""Artificial Intelligence"", ""Human Computer Interaction""",bi544zepovebjx6puuv9ytly,Fatima Ahmed
Faculty,Masters,Data Science,"""Machine Learning""",1f1dn5q33x9owvem5felwmb6,Hassan Ahmed
Student,Masters,Data Science,"""Data Science"", ""Artificial Intelligence""",xx5n37pqj5zxlib9o9sb20f2,Ali Javed
Student,Doctorate,Computer Science,"""Data Science""",chbabkr2ewj6ssrsowpg6oq3,Fatima Malik
Student,Bachelors,Software Engineering,"""Networking"", ""Machine Learning"", ""Human Computer Interaction"", ""Software Development""",7wvgnqsrzklehnd16fmqkal0,Sara Chaudhry
Student,Doctorate,Data Science,"""Artificial Intelligence"", ""Human Computer Interaction""",zbsjtumj2gc3vgott8ahy52k,Hina Butt
Faculty,Masters,Data Science,"""Human Computer Interaction""",ghnqhy3ld612y7s0ppidro69,Ayesha Hussain
Student,Masters,Data Science,"""Artificial Intelligence""",4xc4uc6on7776s3a6t2mdqzw,Hassan Khan
Industrial,Masters,Computer Science,"""Artificial Intelligence"", ""Machine Learning""",jvbflxfwynxk2gvewo8jzbp7,Zainab Chaudhry
Faculty,Masters,Software Engineering,"""Data Science"", ""Artificial Intelligence""",u37d4hix975502lsnulxkogq,Sara Ahmed
Industrial,Masters,Software Engineering,"""Networking""",8eltzwf7ve4mf1gzsp5xn7mg,Zainab Butt
Faculty,Masters,Software Engineering,"""Artificial Intelligence"", ""Software Development""",zi759l9ss3eq5ttq6lj38dyt,Ali Iqbal
Faculty,Masters,Data Science,"""Networking""",o1gko1rvg8s2a60hamxsx1yh,Hassan Malik
Student,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Data Science""",66ad4uezec45mibbx2h6z7m4,Hina Khan
Industrial,Masters,Computer Science,"""Human Computer Interaction"", ""Data Science""",emixedl7i0pf6wij9xtd32q3,Ali Butt
Student,Bachelors,Software Engineering,"""Artificial Intelligence""",rfzfzvcg5cj8wji27xy9562h,Zainab Malik
Industrial,Doctorate,Computer Science,"""Data Science"", ""Artificial Intelligence""",idkrnen7afa6edfeqakgivpx,Zainab Ahmed
Student,Masters,Software Engineering,"""Data Science"", ""Machine Learning"", ""Networking""",pod8yw3hvwqegkhv2222miag,Sara Sheikh
Industrial,Masters,Data Science,"""Machine Learning""",7bmf5fnain6nge6tp0qklvnn,Ayesha Butt
Industrial,Doctorate,Computer Science,"""Artificial Intelligence"", ""Software Development"", ""Machine Learning""",21dcgh9ttchgstfnsyzr8585,Usman Iqbal
Faculty,Masters,Computer Science,"""Software Development""",l33er1w9yxtp3da7xtaiiblf,Sara Raza
Industrial,Masters,Software Engineering,"""Data Science""",otbvred1qva3btcaj4qbvfa8,Hina Raza
Industrial,Doctorate,Data Science,"""Networking""",tzfvjkojbqxowok71n0nsh6t,Hassan Ahmed
Industrial,Bachelors,Software Engineering,"""Human Computer Interaction"", ""Networking""",wdh6e3n5twm9i5vt4uuxodhk,Hassan Javed
Student,Bachelors,Software Engineering,"""Data Science"", ""Artificial Intelligence"", ""Software Development"", ""Human Computer Interaction""",x6nw9no4n9gn38i14ofxpe7w,Hassan Ahmed
Student,Doctorate,Computer Science,"""Human Computer Interaction""",127lu5ee8pwxcwkltrbhvzxn,Ayesha Javed
Student,Doctorate,Data Science,"""Artificial Intelligence""",1r10kfufesgo8eq7af9bi2zs,Zainab Sheikh
Industrial,Doctorate,Software Engineering,"""Software Development""",zma7ty4gcoyjh32ore2ceiar,Ahmed Iqbal
Student,Masters,Data Science,"""Data Science""",kdsj0ubm0r1i9eaioqsnk4fg,Ahmed Sheikh
Industrial,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Software Development"", ""Networking"", ""Artificial Intelligence""",513u7rqgxcgwm3t9z1xhz8lu,Hina Ahmed
Student,Bachelors,Computer Science,"""Data Science""",117is5eo9gvxw69bnz42j0v0,Ayesha Ahmed
Student,Bachelors,Software Engineering,"""Software Development"", ""Networking""",ueqq4l6suqvx5jkravm268ym,Fatima Ahmed
Industrial,Doctorate,Data Science,"""Software Development"", ""Networking""",hj70d7hk6xrbe9bajznbx73q,Ahmed Malik
Student,Bachelors,Computer Science,"""Artificial Intelligence"", ""Software Development""",uxu7ujmq6gfc1ufmurs75fkp,Fatima Sheikh
Student,Bachelors,Data Science,"""Data Science"", ""Artificial Intelligence""",tgoulfblazgmuhpj9mex2cqo,Omar Javed
Student,Doctorate,Software Engineering,"""Machine Learning"", ""Human Computer Interaction""",4aj95v75f1r6z20m9yjtgofx,Usman Butt
Student,Doctorate,Software Engineering,"""Data Science""",4owzk4p0exc95mfw8ovvy3vt,Hina Khan
Student,Masters,Computer Science,"""Software Development"", ""Data Science"", ""Artificial Intelligence""",d3h1vb6cwu59ed87a63cs32t,Ahmed Iqbal
Student,Bachelors,Data Science,"""Data Science""",6866r2fp03a0fswlrx4lsocs,Ahmed Butt
Industrial,Bachelors,Software Engineering,"""Artificial Intelligence""",srz7fctkdahgrgiamerkodbn,Sara Iqbal
Student,Bachelors,Software Engineering,"""Networking"", ""Machine Learning"", ""Software Development"", ""Data Science""",r1r5pmvhvvbvu2mol3fna44w,Sara Ahmed
Industrial,Doctorate,Data Science,"""Machine Learning"", ""Networking""",tr99eysggq38vdbww93xbvxu,Hina Malik
Student,Masters,Software Engineering,"""Data Science"", ""Human Computer Interaction""",nnrrsnzzfctcz7d2ltkngawk,Omar Raza
Student,Doctorate,Computer Science,"""Human Computer Interaction""",mq5mojotghkdvdrpq084ua8h,Hina Hussain
Student,Doctorate,Software Engineering,"""Networking"", ""Human Computer Interaction"", ""Data Science"", ""Artificial Intelligence""",3g7a6u4f6n1j96vkqhzkj5ru,Ahmed Raza
Student,Bachelors,Data Science,"""Networking"", ""Artificial Intelligence"", ""Machine Learning""",83k36dys2urhi3vuy2cjlpg0,Omar Ahmed
Faculty,Masters,Data Science,"""Networking"", ""Artificial Intelligence"", ""Data Science"", ""Software Development""",42f7pjksitgm5gmw3z5lkd51,Usman Khan
Faculty,Masters,Computer Science,"""Networking""",0hw71dbo2ajds1b0ysfluhkz,Zainab Ahmed
Industrial,Doctorate,Computer Science,"""Machine Learning""",89jcy42mqfkiivt7l1xzd9h9,Zainab Raza
Student,Bachelors,Software Engineering,"""Machine Learning""",cmn8ifwy50kgsyt4ut0epl28,Fatima Ahmed
Industrial,Bachelors,Data Science,"""Software Development""",nxquedjkqlctehr32fuvo8hw,Hina Raza
Student,Doctorate,Computer Science,"""Machine Learning"", ""Human Computer Interaction"", ""Artificial Intelligence"", ""Data Science""",p2w8cjcjzm119fq7jfbinju2,Ahmed Iqbal
Industrial,Masters,Software Engineering,"""Human Computer Interaction"", ""Data Science"", ""Software Development"", ""Artificial Intelligence""",7at6ep52qsfq4hhuilw0qta5,Sara Hussain
Industrial,Bachelors,Computer Science,"""Data Science"", ""Networking""",slxoa4p1znzwgcn75mb8spq1,Omar Chaudhry
Faculty,Masters,Data Science,"""Artificial Intelligence""",31apamhl75r471vgypwt84bf,Sara Hussain
Faculty,Masters,Data Science,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Software Development""",rjhpopyj8vaq3qy91wyywjqx,Ayesha Raza
Faculty,Doctorate,Data Science,"""Artificial Intelligence"", ""Data Science"", ""Networking""",2u3fbx2yjhcdzec2opsc548j,Omar Iqbal
Student,Doctorate,Data Science,"""Human Computer Interaction""",2qbyc8pma0bvy92j0hpx5x8r,Zainab Ahmed
Industrial,Masters,Software Engineering,"""Machine Learning""",caf5tm524l1s7uvpowjcqy4n,Ayesha Sheikh
Student,Doctorate,Data Science,"""Artificial Intelligence"", ""Data Science""",wnbh155pigzpzvsq7j1h3cl3,Hina Javed
Faculty,Masters,Software Engineering,"""Machine Learning""",o5g99xlsazb73557ahw29gn8,Hina Iqbal
Industrial,Masters,Data Science,"""Software Development""",dc53zv6popp6zslti26ovh52,Ahmed Butt
Faculty,Masters,Data Science,"""Data Science"", ""Networking"", ""Artificial Intelligence""",3wbl5set5jy6tuzunv34jfo4,Ayesha Iqbal
Faculty,Masters,Data Science,"""Artificial Intelligence""",taa5m1sp78877hq69fgnr2ic,Omar Chaudhry
Student,Doctorate,Data Science,"""Data Science"", ""Human Computer Interaction""",c58tso71hsjtn3zlo9p8iy3k,Ayesha Raza
Industrial,Masters,Computer Science,"""Machine Learning"", ""Artificial Intelligence"", ""Human Computer Interaction""",idlqtyha9q0mxqve1m9okgxg,Ahmed Malik
Faculty,Masters,Computer Science,"""Artificial Intelligence""",87cwenfihvq531ub0mg6cexu,Sara Hussain
Industrial,Doctorate,Computer Science,"""Artificial Intelligence""",5yu7jn5pyffzoe1tsb8r0jpx,Ayesha Javed
Faculty,Masters,Software Engineering,"""Software Development""",gc0hvr9tcmiekzxrkifpiosb,Usman Khan
Faculty,Masters,Data Science,"""Networking"", ""Machine Learning"", ""Software Development"", ""Data Science""",kl8f67c3ycqhj7grhbipy1yw,Ahmed Sheikh
Student,Doctorate,Computer Science,"""Machine Learning"", ""Artificial Intelligence"", ""Data Science""",m4j0roze3fgc71nmcg9fm5fg,Usman Butt
Industrial,Doctorate,Data Science,"""Human Computer Interaction"", ""Machine Learning"", ""Artificial Intelligence"", ""Networking""",blq1xllnjifoqbdqe7liubl5,Ahmed Khan
Student,Bachelors,Computer Science,"""Machine Learning"", ""Data Science"", ""Networking""",xpdxfr5bcpbo9y522r85bw7r,Zainab Ahmed
Industrial,Doctorate,Data Science,"""Human Computer Interaction""",foxf9150cjhfzrmq5jv5tadm,Hassan Khan
Faculty,Masters,Software Engineering,"""Machine Learning""",rrgyflif66mtufqjc1gwutl3,Ayesha Hussain
Industrial,Bachelors,Software Engineering,"""Machine Learning""",bn1cvw8kru7ej40lzgqk63uc,Omar Butt
Industrial,Doctorate,Computer Science,"""Machine Learning""",mcvwmyh70vwcsbxr4wqs3tmg,Usman Khan
Industrial,Doctorate,Computer Science,"""Machine Learning"", ""Software Development"", ""Human Computer Interaction""",ritco50y8ztcby16i1d8st08,Fatima Khan
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Machine Learning""",y12bwub4uksoum8kwn6iemyb,Fatima Malik
Faculty,Doctorate,Computer Science,"""Machine Learning"", ""Artificial Intelligence""",gnv2ga288jvskprm5m46limp,Ahmed Butt
Industrial,Doctorate,Computer Science,"""Software Development""",y88naie4gr7j9lbn3hbytbx7,Hassan Iqbal
Industrial,Doctorate,Data Science,"""Data Science"", ""Human Computer Interaction"", ""Machine Learning""",ha8pn4f19d4ohtffz53o2qmk,Sara Malik
Student,Masters,Computer Science,"""Data Science""",e8g6q9n59fvd2m8k5petrcps,Zainab Chaudhry
Student,Bachelors,Data Science,"""Human Computer Interaction"", ""Data Science"", ""Machine Learning""",yf4qbyz4qg7lpoy25ir0823k,Ali Butt
Faculty,Masters,Data Science,"""Machine Learning""",3oe8dssjro5qmq74on9jub4t,Ali Sheikh
Industrial,Bachelors,Computer Science,"""Data Science""",dl8m2h7pb14dsvxmm0ooo3c7,Fatima Malik
Student,Bachelors,Data Science,"""Artificial Intelligence""",e8roksgzfrtao68xprz5a1if,Fatima Malik
Student,Doctorate,Software Engineering,"""Machine Learning"", ""Human Computer Interaction""",kb5f5yk8dge83hecxsiw6tg6,Zainab Khan
Faculty,Doctorate,Computer Science,"""Artificial Intelligence"", ""Machine Learning""",7vgulkgh7ef1kg7sxttqf610,Ayesha Khan
Faculty,Masters,Data Science,"""Data Science""",19arkauau9b50xezhhi26nyt,Usman Chaudhry
Industrial,Doctorate,Data Science,"""Data Science"", ""Machine Learning""",14usxy5lavo0ixj9wnizadtc,Sara Ahmed
Industrial,Bachelors,Software Engineering,"""Artificial Intelligence"", ""Data Science"", ""Machine Learning"", ""Software Development""",drr59wxtwe51kk1sceqsdlxn,Ayesha Javed
Student,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Machine Learning"", ""Software Development"", ""Human Computer Interaction""",nl8ayfcjzgak16d1vrp563vn,Ayesha Butt
Student,Doctorate,Computer Science,"""Data Science"", ""Artificial Intelligence""",ebxczsp6vm1ybyfmvcco2foa,Ayesha Raza
Faculty,Masters,Software Engineering,"""Software Development"", ""Machine Learning"", ""Data Science"", ""Networking""",ttfd904m3g3wllhlefuci3a2,Zainab Malik
Faculty,Masters,Computer Science,"""Data Science"", ""Software Development""",4paph98xc904yykizirb17vv,Hassan Iqbal
Faculty,Masters,Computer Science,"""Data Science"", ""Software Development"", ""Networking"", ""Machine Learning""",qvhyl3hv1enr140dvh4spirc,Zainab Malik
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Machine Learning""",vdh8odxxkh217uf6uiur5m5c,Usman Sheikh
Faculty,Doctorate,Computer Science,"""Software Development""",ar0p107wsfbx0304mnb10no8,Ayesha Chaudhry
Faculty,Doctorate,Software Engineering,"""Networking""",ldrr1sm3xsvhgi6ud3rmt3eb,Omar Ahmed
Student,Masters,Software Engineering,"""Machine Learning""",ga6o19wdrom2uzei8eglrx2s,Hassan Hussain
Student,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Networking""",wcofcjjz61vc6q6e8gj9w4th,Hina Javed
Faculty,Masters,Software Engineering,"""Human Computer Interaction""",k1cej7r4rx8c8tjc047f3dfw,Sara Javed
Faculty,Masters,Computer Science,"""Human Computer Interaction"", ""Data Science"", ""Machine Learning""",daha24u748i49cndv6ckjf9f,Ahmed Ahmed
Industrial,Masters,Software Engineering,"""Human Computer Interaction"", ""Networking"", ""Data Science""",ps0aslrzcjinjyrb83fmrh67,Hina Ahmed
Industrial,Doctorate,Data Science,"""Human Computer Interaction"", ""Software Development""",mxm8yun22ndyrakfgqrj0cq1,Hassan Malik
Student,Bachelors,Computer Science,"""Artificial Intelligence"", ""Software Development""",jn1u6q5b6e8379xpa9vh01y1,Ayesha Iqbal
Industrial,Bachelors,Computer Science,"""Human Computer Interaction"", ""Software Development"", ""Artificial Intelligence""",lrcgad4sdwtg116fc93qnhh2,Ahmed Butt
Industrial,Doctorate,Software Engineering,"""Artificial Intelligence""",is1jl4i7inhgrp8sv5di8o3p,Sara Malik
Student,Masters,Computer Science,"""Machine Learning"", ""Data Science"", ""Software Development""",19ub8dyeyclpp4fs8jk207qw,Usman Javed
Student,Bachelors,Software Engineering,"""Software Development""",e3s1e4p50gc42kmu6z2ifuey,Usman Raza
Industrial,Bachelors,Software Engineering,"""Networking"", ""Artificial Intelligence""",lvzpujxnef5f7xbpbnw1f4u5,Ayesha Ahmed
Faculty,Doctorate,Software Engineering,"""Machine Learning"", ""Software Development"", ""Human Computer Interaction""",vrvbaq88xvl34qvdk20v8tei,Omar Khan
Industrial,Doctorate,Data Science,"""Software Development"", ""Machine Learning"", ""Networking""",vllg4p5i1lha4r7e9iwd5cgt,Hina Iqbal
Student,Bachelors,Computer Science,"""Machine Learning"", ""Human Computer Interaction"", ""Software Development""",o3k7bsvjt22wioeuz1rj6git,Hina Iqbal
Faculty,Masters,Computer Science,"""Human Computer Interaction""",wnl3j7n69evu5patyyfseyas,Ali Raza
Student,Masters,Software Engineering,"""Software Development"", ""Human Computer Interaction""",wvtg7qjb136e1o4id4nn9vuc,Hassan Raza
Student,Masters,Computer Science,"""Human Computer Interaction"", ""Software Development""",jm46gjm51ofmbfy4qq3qyr7t,Hassan Chaudhry
Industrial,Doctorate,Computer Science,"""Software Development""",9ua1jq3em1ap2m7e2vsuqhb1,Ayesha Khan
Faculty,Masters,Software Engineering,"""Machine Learning"", ""Human Computer Interaction""",6dtao73m1iaychvvdbr0jqrl,Ayesha Butt
Industrial,Bachelors,Computer Science,"""Artificial Intelligence""",r8pqcxh3dnahiqs7prciim0s,Usman Chaudhry
Student,Masters,Software Engineering,"""Software Development"", ""Networking"", ""Artificial Intelligence""",rev22cu5kn7fte7ukp67ympk,Ahmed Hussain
Industrial,Bachelors,Data Science,"""Networking"", ""Artificial Intelligence"", ""Data Science"", ""Machine Learning""",vt5pann8e8bhlb6eutban4ri,Hina Ahmed
Student,Doctorate,Software Engineering,"""Networking""",2b9i6ak0or4f2kdtvz920s4z,Ahmed Sheikh
Industrial,Doctorate,Software Engineering,"""Software Development""",c9sd5wn1jvcyeqxptd6c1kni,Zainab Iqbal
Industrial,Doctorate,Data Science,"""Data Science"", ""Networking""",g7jwz75zfg09ljnxunsb611j,Zainab Ahmed
Faculty,Masters,Software Engineering,"""Human Computer Interaction"", ""Networking"", ""Machine Learning""",mji33cimrjh27sx8m0xm3uh2,Ayesha Sheikh
Faculty,Masters,Computer Science,"""Data Science""",vudyom1qx5vtdz2gu8iujlmb,Ali Sheikh
Industrial,Doctorate,Data Science,"""Machine Learning"", ""Artificial Intelligence""",nxiez1ezcy8umygquay29vmt,Usman Hussain
Faculty,Masters,Computer Science,"""Artificial Intelligence""",yhudel10ahf9c43a6vpi0n7u,Hassan Sheikh
Student,Doctorate,Data Science,"""Data Science""",6azd0q6e86uo8qt8ddheo7zl,Sara Hussain
Student,Bachelors,Data Science,"""Artificial Intelligence"", ""Software Development""",4dezo4csb81bgnylgctopg6e,Sara Malik
Student,Doctorate,Software Engineering,"""Networking"", ""Software Development"", ""Human Computer Interaction""",t4jzrmh9esavgr9r80za2zub,Zainab Hussain
Student,Doctorate,Software Engineering,"""Machine Learning""",aihc7ggeh0rpjrvs0bhta5wk,Hina Iqbal
Industrial,Bachelors,Data Science,"""Data Science"", ""Networking""",krmrdwoskik9w4hkf1ienryy,Sara Sheikh
Student,Doctorate,Data Science,"""Artificial Intelligence"", ""Machine Learning"", ""Networking""",eox000vlcr21ozci77e25r8f,Hassan Chaudhry
Faculty,Masters,Computer Science,"""Data Science""",02o1a4om9ury3kmsw3jv5ly7,Ayesha Javed
Student,Doctorate,Software Engineering,"""Machine Learning"", ""Human Computer Interaction"", ""Networking"", ""Software Development""",y0fyzdf3nlh2e5ix9rtwol6k,Usman Chaudhry
Faculty,Masters,Data Science,"""Human Computer Interaction""",sia6a4n9ear5ut0fm5du7507,Sara Butt
Student,Doctorate,Software Engineering,"""Data Science"", ""Artificial Intelligence"", ""Human Computer Interaction""",rn89h9x9ph1bemb4i7ussmhj,Ayesha Malik
Student,Doctorate,Computer Science,"""Artificial Intelligence""",gi1eqncrua0d5ozsff2bcodh,Zainab Malik
Industrial,Bachelors,Software Engineering,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Software Development"", ""Machine Learning""",59eb49a6dgtzim0ug6g0v2ti,Hina Malik
Faculty,Doctorate,Software Engineering,"""Networking"", ""Machine Learning""",tgyvcax9xjwm4t6l2axj21fm,Hina Raza
Faculty,Masters,Data Science,"""Artificial Intelligence"", ""Networking""",dxe15wnfoo2u0p6hogzlw40h,Hina Sheikh
Faculty,Masters,Computer Science,"""Human Computer Interaction"", ""Data Science""",xslc2rjzkbofi1ofnjq2iahl,Usman Sheikh
Student,Doctorate,Software Engineering,"""Machine Learning""",shl6kgzsy7t36y4mmw282u9s,Omar Ahmed
Faculty,Masters,Data Science,"""Human Computer Interaction"", ""Data Science"", ""Networking""",rp8pqkbg60sdd0rp6ac6ee3h,Zainab Iqbal
Faculty,Masters,Software Engineering,"""Human Computer Interaction"", ""Artificial Intelligence""",hyzq8irtzy87mrys55test1y,Sara Ahmed
Faculty,Masters,Software Engineering,"""Networking""",hsde2ht13h2u5turw0qt6xnm,Zainab Iqbal
Industrial,Masters,Software Engineering,"""Software Development"", ""Artificial Intelligence"", ""Data Science""",rnae5b6colnxjxaqzl3w2rkf,Usman Malik
Industrial,Masters,Software Engineering,"""Machine Learning""",rq6i3jnvmkd6ihximcgeoeae,Sara Ahmed
Student,Doctorate,Software Engineering,"""Networking""",3si0nwd5zmiqlw2qn57hzlc8,Hina Khan
Industrial,Masters,Computer Science,"""Machine Learning"", ""Artificial Intelligence"", ""Software Development""",efz7zvcrfu59h7zr5k6j3jg8,Ahmed Iqbal
Faculty,Masters,Software Engineering,"""Software Development"", ""Machine Learning""",l8v5rkokbu8y2yo4m43sabjr,Ayesha Sheikh
Faculty,Masters,Software Engineering,"""Artificial Intelligence"", ""Software Development"", ""Networking""",d7w8gsuxg1xwrdylqvriq7hv,Ali Raza
Faculty,Masters,Computer Science,"""Artificial Intelligence""",noirnmpb1kmwsbti6n69fyi6,Hina Butt
Faculty,Masters,Data Science,"""Artificial Intelligence"", ""Human Computer Interaction""",u2tfwxlmgibzk5dma8z0y5kv,Ayesha Malik
Industrial,Masters,Data Science,"""Data Science"", ""Artificial Intelligence""",ujihisk5g44jhvmop8fvgytu,Zainab Ahmed
Industrial,Bachelors,Computer Science,"""Artificial Intelligence""",4rc9xcaa0x3otqphf5fiw3rj,Ahmed Sheikh
Student,Doctorate,Data Science,"""Networking"", ""Software Development"", ""Data Science""",3p9xe0ujxd7sfxhp0d1zmraj,Hassan Raza
Student,Doctorate,Computer Science,"""Machine Learning""",byn471xhual98yc14iarbb7w,Ayesha Khan
Faculty,Masters,Computer Science,"""Human Computer Interaction"", ""Data Science""",81rx3tuyz08yq1ff9pxbd4bl,Hassan Butt
